nom_plat,mida_racio,complexitat,temperatura,te_ordre,formalitat,preu_cost,apte_esdeveniment,disponibilitat,ingredients,categoria,procedencia_plat
Amanida alemanya de patata,mitjana,mitjana,tebi,primer,informal,5.0,['totes'],"['hivern', 'tardor']","['patata', 'oli', 'maionesa', 'vinagre', 'vi', 'brou', 'ceba', 'sal', 'pebre', 'farina', 'sucre', 'mostassa', 'bacon']",amanida_fresca,Alemanya  
Amanida asiàtica de pollastre,mitjana,alta,fred,primer,informal,6.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pollastre', 'bròquil', 'pèsols', 'verdures', 'pastanaga', 'mango', 'sèsam']",amanida_fresca,Àsia oriental  
Amanida Beijing,baixa,baixa,tebi,primer,informal,4.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['col', 'julivert', 'sèsam', 'sal', 'salsa de tomàquet']",amanida_fresca,Xina  
Amanida Caprese,petita,baixa,fred,primer,formal,4.5,['totes'],['estiu'],"['tomàquet', 'alfàbrega', 'oli d’oliva', 'vinagre balsàmic', 'orenga', 'pebre']",amanida_fresca,Itàlia  
Amanida clàssica,petita,baixa,fred,primer,informal,3.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['enciam', 'crostonets', 'formatge', 'vinagreta de mel i mostassa', 'panses']",amanida_fresca,Europa occidental  
Amanida Cèsar,petita,baixa,fred,primer,formal,4.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['enciam romà', 'oli', 'pebre', 'salsa Worcestershire', 'ou', 'pa torrat']",amanida_fresca,Estats Units  
Amanida de brots,mitjana,mitjana,fred,primer,informal,4.5,['totes'],['estiu'],"['alfàbrega', 'bacon', 'tomàquet', 'api', 'oli', 'vinagre']",amanida_fresca,Mediterrània  
Amanida de carbassó,baixa,baixa,fred,primer,informal,4.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['llimona', 'suc de sang', 'suc de taronja']",amanida_fresca,Mediterrània  
Amanida de cogombre tomàquet i ceba,petita,baixa,fred,primer,informal,4.0,['totes'],['estiu'],"['cogombre', 'tomàquet', 'ceba', 'vinagre', 'aigua']",amanida_fresca,Mediterrània  
Amanida de cranc i blat de moro,petita,baixa,fred,primer,formal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['cranc', 'blat de moro', 'maionesa', 'ceba', 'formatge']",entrant_fred,Estats Units  
Amanida de cranc i rúcula picant,petita,baixa,fred,primer,informal,4.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['llimona', 'oli', 'pebre', 'julivert', 'anet', 'cranc', 'rúcula']",amanida_fresca,Mediterrània  
Amanida de fideus amb sèsam,petita,baixa,fred,primer,informal,4.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['fideus', 'oli de sèsam', 'oli', 'sal', 'coriandre', 'ceba tendra', 'pastanaga']",amanida_fresca,Àsia oriental  
Amanida de fruita amb suc taronja,petita,baixa,fred,primer,informal,3.5,['totes'],"['hivern', 'tardor']","['poma', 'plàtan', 'taronja', 'cireres', 'suc de taronja']",amanida_fresca,Carib  
Amanida de pasta amb pepperoni,baixa,baixa,fred,primer,informal,5.0,['totes'],['estiu'],"['pasta orzo', 'vinagreta italiana', 'formatge mozzarella', 'pepperoni', 'tomàquet']",farinaci_entrant,Itàlia  
Amanida de pastanaga,petita,baixa,fred,primer,informal,3.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pastanaga', 'oli d’ametlla', 'vinagre balsàmic blanc', 'sal', 'pebre', 'pinyons', 'enciams', 'cibulet']",amanida_fresca,Mediterrània  
Amanida de pastanaga i panses,mitjana,alta,fred,primer,informal,4.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pastanaga', 'panses', 'llimona', 'taronja', 'sucre']",amanida_fresca,Mediterrània  
Amanida de patata,gran,alta,tebi,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['patata', 'ou', 'ceba', 'sucre', 'api', 'farina', 'vinagre', 'aigua', 'julivert', 'sal', 'pebre', 'paprika']",amanida_fresca,Europa central  
Amanida de pollastre al grill i rúcula,mitjana,alta,fred,primer,informal,6.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pollastre', 'rúcula', 'llimona', 'mostassa', 'oli', 'sal', 'pebre', 'parmesà']",amanida_fresca,Mediterrània  
Amanida de pollastre amb albercocs,mitjana,baixa,fred,primer,informal,5.5,['totes'],"['hivern', 'tardor']","['pollastre', 'api', 'poma', 'mel', 'iogurt', 'albercoc', 'espècies']",amanida_fresca,Estats Units  
Amanida de pollastre amb sèsam,mitjana,mitjana,tebi,primer,informal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pollastre', 'salsa de soja', 'gingebre', 'sucre morè', 'all', 'maionesa', 'oli de sèsam', 'sucre blanc', 'sèsam', 'col', 'pastanaga', 'fideus cruixents']",amanida_fresca,Àsia oriental  
Amanida de pollastre i col,petita,mitjana,fred,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['col', 'ametlles', 'llavors de gira-sol', 'pollastre', 'sal', 'pebre', 'sucre']",amanida_fresca,Estats Units  
Amanida de pollastre simple,petita,baixa,fred,primer,informal,4.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pollastre', 'maionesa', 'enciam', 'bacon', 'all']",amanida_fresca,Estats Units  
Amanida de pèsols anglesa,petita,baixa,fred,primer,informal,3.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pèsols', 'maionesa', 'ceba', 'ou', 'herbes']",amanida_fresca,Regne Unit  
Amanida de quinoa i verdures amb salsa de cacauet,mitjana,baixa,fred,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['mantega de cacauet', 'tamari', 'vinagre d’arròs', 'oli de sèsam', 'llima', 'salsa chili-all', 'aigua', 'cacauets', 'quinoa', 'col rossa', 'pastanaga', 'ceba tendra', 'pebrot vermell', 'cilantro']",amanida_fresca,Perú  
Amanida de tomàquet,baixa,baixa,fred,primer,informal,4.0,['totes'],['estiu'],"['tomàquet', 'ceba', 'olives', 'oli', 'sal', 'pebre']",amanida_fresca,Mediterrània  
Amanida de tomàquet egípcia,petita,mitjana,fred,primer,formal,4.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['tomàquet', 'ceba', 'cogombre', 'julivert', 'menta', 'llimona', 'oli', 'sal', 'pebre']",amanida_fresca,Egipte  
Amanida de tomàquet i ceba,baixa,baixa,fred,primer,informal,4.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['tomàquet', 'ceba', 'api', 'olives', 'vinagre', 'llimona', 'pebre', 'sal']",amanida_fresca,Mediterrània  
Amanida de tonyina,mitjana,baixa,tebi,primer,informal,4.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['tonyina', 'castanyes d’aigua', 'ceba', 'api', 'pastanaga', 'maionesa', 'mostassa', 'soja', 'sal', 'pebre', 'formatge cheddar', 'raïm', 'embotits', 'tater tots']",entrant_fred,Estats Units  
Amanida de tonyina i herbes,baixa,baixa,fred,primer,informal,4.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['tonyina', 'sal', 'pebre', 'mostassa', 'llimona', 'oli', 'alfàbrega', 'farigola', 'orenga', 'julivert', 'feta']",entrant_fred,Mediterrània  
Amanida de vedella cansalada i ruca,alta,mitjana,fred,primer,formal,6.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['rúcula', 'vedella', 'sal', 'pebre', 'oli', 'vinagre', 'mostassa', 'bacon']",entrant_fred,Itàlia  
Amanida de verdures,mitjana,baixa,fred,primer,informal,4.5,['totes'],['estiu'],"['germinats', 'enciam', 'ceba', 'tomàquet', 'col', 'cogombre', 'ou', 'maionesa', 'mostassa', 'salsa de tomàquet', 'sucre', 'sal', 'pebre']",amanida_fresca,Mediterrània  
Amanida d’algues,petita,baixa,fred,primer,informal,3.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['algues', 'ceba', 'salsa de soja', 'vinagre d’arròs', 'mirin', 'oli de sèsam', 'pebre vermell', 'sal', 'sèsam']",amanida_fresca,Japó  
Amanida d’arròs amb pollastre,mitjana,alta,fred,primer,informal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['maionesa', 'iogurt', 'nous', 'nata', 'ou dur', 'julivert', 'llimona', 'sal', 'pebre', 'mostassa', 'arròs', 'pollastre', 'pastanaga', 'ceba tendra', 'api']",farinaci_entrant,Europa occidental  
Amanida d’espinacs,mitjana,baixa,fred,primer,informal,4.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['oli', 'vinagre', 'pebre', 'mostassa', 'paprika', 'sucre', 'espinacs', 'ou', 'bacon', 'ceba']",amanida_fresca,Estats Units  
Amanida d’espàrrecs al grill,mitjana,mitjana,tebi,primer,informal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['espàrrecs', 'sal', 'oli', 'all', 'tàperes', 'llimona', 'cigrons', 'julivert', 'menta', 'espinacs']",vegetal_entrant,Mediterrània  
Amanida grega,baixa,baixa,fred,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['tomàquet', 'cogombre', 'ceba', 'pebrot', 'olives', 'oli', 'vinagre', 'sal', 'feta', 'orenga']",amanida_fresca,Grècia  
Amanida russa,baixa,baixa,tebi,primer,informal,4.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['blat de moro', 'pastanaga', 'pèsols', 'patata', 'cogombre', 'maionesa', 'sal']",amanida_fresca,Rússia  
Amanida tricolor de tres mongetes,baixa,baixa,fred,primer,informal,4.0,['totes'],['estiu'],"['mongetes', 'blat de moro', 'mongetes negres', 'corn', 'tomàquet', 'vinagreta', 'orenga', 'pebre']",amanida_fresca,Estats Units  
Amanida vegetal,alta,alta,fred,primer,informal,5.0,['totes'],['estiu'],"['ceba', 'api', 'pastanaga', 'tomàquet', 'mongeta', 'pebrot', 'nous']",amanida_fresca,Mediterrània  
Amanida xipriota,petita,baixa,fred,primer,informal,4.0,['totes'],['estiu'],"['tomàquet', 'cogombre', 'enciams', 'ceba', 'olives']",amanida_fresca,Xipre  
Amanida “francesa”,petita,baixa,fred,primer,informal,3.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['ketchup', 'sucre', 'vinagre', 'oli', 'ceba', 'paprika', 'salsa worcestershire']",amanida_fresca,França  
Arròs persa cruixent (Tahdiq),mitjana,alta,tebi,primer,formal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['patata', 'arròs', 'oli', 'sal', 'aigua']",farinaci_entrant,Irà
Arròs a la cassola (arròs a la cassola de rap),mitjana,alta,tebi,primer,formal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['arròs', 'peix blanc (rap)', 'tomàquet', 'oli d'oliva', 'all', 'sal', 'aigua']",farinaci_entrant,Catalunya (Espanya)
Arròs negre (arròs negre de sèpia),mitjana,alta,tebi,primer,formal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['arròs', 'sèpia', 'tinta de sèpia', 'oli d'oliva', 'all', 'pebre', 'sal', 'aigua']",farinaci_entrant,Comunitat Valenciana / Catalunya (Espanya)
Arròs a banda,mitjana,alta,tebi,primer,formal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['arròs', 'fumet de peix', 'oli d'oliva', 'all', 'sal', 'aigua']",farinaci_entrant,Alacant / Múrcia (Espanya)
Arròs caldós de marisc,mitjana,alta,tebi,primer,formal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['arròs', 'marisc variat', 'tomàquet', 'oli d'oliva', 'all', 'pebre', 'sal', 'aigua']",farinaci_entrant,Catalunya / Galícia (Espanya)
Arròs amb costella (arròs amb costella i verdures),mitjana,alta,tebi,primer,formal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['arròs', 'costella de porc', 'patata', 'tomàquet', 'oli d'oliva', 'sal', 'aigua']",farinaci_entrant,Catalunya (Espanya)
Arròs de muntanya (arroz de montaña),mitjana,alta,tebi,primer,formal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['arròs', 'botifarra', 'conill', 'pebrots', 'oli d'oliva', 'sal', 'aigua']",farinaci_entrant,Catalunya / Aragó (Espanya)
Arròs amb fesols i naps (arròs tradicional català),mitjana,alta,tebi,primer,formal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['arròs', 'fesols', 'naps', 'oli d'oliva', 'sal', 'aigua']",farinaci_entrant,Catalunya (Espanya)
Bisque de llagosta,petita,mitjana,calent,primer,formal,8.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['llagosta', 'brou', 'nata', 'anet', 'llimona', 'oli', 'api', 'ceba', 'all', 'sal', 'pebre', 'llorer']",sopa_crema,França
Blat de moro amb herbes,mitjana,mitjana,calent,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['mantega', 'julivert', 'cibulet', 'farigola', 'sal', 'pebre', 'blat de moro']",vegetal_entrant,Amèrica del Nord
Bolets portobello farcits,mitjana,mitjana,calent,primer,formal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['bolets', 'vinagre', 'all', 'ou', 'formatge fresc', 'formatge mozzarella', 'pa ratllat', 'sal', 'pebre']",vegetal_entrant,Itàlia
Bonda índia (frit de verdures),petita,alta,tebi,primer,formal,4.5,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['patata', 'ceba', 'chili', 'cilantre', 'gingebre', 'all', 'sal', 'farina de cigró', 'farina d’arròs', 'llevat', 'aigua', 'oli']",entrant_calent,Índia
Borsch (sopa russa de remolatxa),mitjana,mitjana,calent,primer,informal,5.0,['totes'],['estiu'],"['patata', 'remolatxa', 'aigua', 'mantega', 'ceba', 'sal', 'api', 'pastanaga', 'col', 'pebre negre', 'anet', 'vinagre', 'sucre morè', 'tomàquet concentrat', 'nata']",sopa_crema,Rússia
Brie al forn amb pasta de full,mitjana,mitjana,tebi,primer,formal,6.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['brie', 'mantega', 'farina', 'ou']",entrant_calent,França
Brou de peix (fumet),petita,mitjana,tebi,primer,formal,4.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['peix', 'aigua', 'ceba', 'api', 'porro', 'llorer', 'farigola', 'sal', 'pebre', 'vi blanc']",sopa_crema,Internacional
Brou de xai,mitjana,baixa,tebi,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['carcassa de xai', 'aigua', 'nap', 'julivert', 'farigola', 'sal']",sopa_crema,Internacional
Brou d’ànec,petita,baixa,calent,primer,informal,4.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['ossos', 'grassa', 'menuts', 'sal', 'aigua', 'vinagre']",sopa_crema,Internacional
Bruschetta de mozzarella fresca,mitjana,mitjana,tebi,primer,informal,5.0,['totes'],['estiu'],"['pa', 'tomàquet', 'mozzarella', 'alfàbrega', 'sal', 'pebre', 'oli', 'vinagre']",entrant_fred,Itàlia
Bunyols cruixents de cigró (Chyueeam),petita,alta,calent,primer,informal,4.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['mongetes', 'sucre', 'espècies', 'farina', 'aigua', 'sal', 'oli']",entrant_calent,Myanmar
Bunyols de gambes (Accra),gran,mitjana,calent,primer,informal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pebrot', 'ceba tendra', 'ceba', 'xili', 'farina', 'llevat químic', 'sucre', 'gamba', 'all', 'farigola', 'julivert', 'pebre', 'sal', 'oli']",entrant_calent,Carib
Bunyols de pèsols grocs (Phulourie),petita,alta,tebi,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pèsols grocs', 'farina', 'llevat químic', 'all', 'ou', 'sal', 'cúrcuma', 'comí', 'oli']",entrant_calent,Trinitat i Tobago
Bunyols d’arròs i ceba Sylheti,alta,alta,tebi,primer,informal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['ceba', 'aigua', 'sal', 'cúrcuma', 'espècies', 'farina d’arròs', 'farina de rice', 'cilantro']",entrant_calent,Bangladesh
Bunyols d’espinacs,mitjana,mitjana,tebi,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['iogurt', 'farina', 'ou', 'llevat químic', 'all', 'oli', 'sal', 'pebre']",entrant_calent,Internacional
Bunyols italians de patata i formatge (Zippuli),alta,alta,calent,primer,formal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['sal', 'llevat químic', 'all', 'formatge parmesà', 'julivert', 'patata', 'ou']",entrant_calent,Itàlia
Bunyols nigerians de blat de moro i soja (Tubani),alta,alta,calent,primer,informal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['blat de moro', 'soja', 'potassa', 'pebre', 'boulon', 'oli']",entrant_calent,Nigèria
Caldo Dashi japonès,petita,mitjana,tebi,primer,formal,4.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['tuna seca', 'alga', 'aigua']",sopa_crema,Japó
Canapès de carn de cranc,petita,alta,tebi,primer,formal,6.5,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['salsa beixamel', 'sal', 'pebre', 'ceba tendra', 'mantega', 'cranc', 'rovell d’ou', 'pa ratllat', 'formatge', 'pa torrat', 'julivert', 'llimona']",entrant_fred,França
Carxofa al vapor,mitjana,baixa,calent,primer,formal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['sal', 'oli', 'carxofa', 'llimona', 'julivert', 'all', 'vi']",vegetal_entrant,Mediterrània
Cassava fregida nigeriana (Kuwese U Logo),mitjana,mitjana,tebi,primer,informal,4.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['mandioca', 'pebre', 'oli', 'sal']",entrant_calent,Nigèria
Cassola de hashbrown,mitjana,mitjana,calent,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['patata', 'formatge', 'nata', 'mantega', 'ceba tendra', 'sal', 'pebre', 'maizena']",entrant_calent,Estats Units
Cereal de segó d’avena,petita,baixa,tebi,primer,informal,3.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['segó d’avena', 'aigua', 'sal']",farinaci_entrant,Regne Unit
Cigrons picants,mitjana,mitjana,calent,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['cigrons', 'oli', 'mostassa', 'pebre', 'sal']",vegetal_entrant,Índia
