nom_plat,formalitat,temperatura,complexitat,mida_racio,te_ordre,categoria,procedencia_plat,preu_cost,apte_esdeveniment,disponibilitat,ingredients,ingredients_norm,preu_cost_before
Amanida Caprese amb mozzarella i alfàbrega,formal,fred,baixa,petita,primer,amanida_fresca,Itàlia,7.26,"['casament', 'empresa', 'congres', 'aniversari']",['estiu'],"['tomàquet', 'mozzarella', 'alfàbrega', ""oli d'oliva"", 'balsàmic']","['tomàquet', 'mozzarella', 'alfàbrega', ""oli d'oliva"", 'balsàmic']",5.8
Amanida Cèsar amb pa torrat i parmesà,formal,fred,baixa,petita,primer,amanida_fresca,Estats Units,7.96,"['casament', 'empresa', 'congres', 'aniversari']","['estiu', 'primavera', 'tardor', 'hivern']","['enciam romà', 'salsa cèsar', 'ou', 'pa torrat', 'parmesà']","['enciam romà', 'salsa cèsar', 'ou', 'pa torrat', 'parmesà']",5.8
Amanida japonesa d'algues amb sèsam torrat,informal,fred,baixa,petita,primer,amanida_fresca,Japó,6.5,"['empresa', 'congres', 'aniversari']",['totes'],"['algues', 'ceba', 'salsa de soja', ""vinagre d'arròs"", 'mirin', 'oli de sèsam', 'pebre vermell', 'sal', 'sèsam']","['algues', 'ceba', 'salsa de soja', ""vinagre d'arròs"", 'mirin', 'oli de sèsam', 'pebre vermell', 'sal', 'sèsam']",5.0
Amanida de fideus asiàtics amb sèsam,informal,fred,baixa,petita,primer,amanida_fresca,Àsia oriental,6.5,"['empresa', 'congres', 'aniversari']",['totes'],"['fideus', 'oli de sèsam', 'coriandre', 'ceba tendra', 'pastanaga']","['fideus', 'oli de sèsam', 'coriandre', 'ceba tendra', 'pastanaga']",5.0
Amanida de quinoa i verdures amb salsa de cacauet,informal,fred,baixa,mitjana,primer,amanida_fresca,Perú,7.89,"['empresa', 'congres', 'aniversari']",['totes'],"['mantega de cacauet', 'tamari', ""vinagre d'arròs"", 'oli de sèsam', 'llima', 'salsa chili-all', 'aigua', 'cacauets', 'quinoa', 'col rossa', 'pastanaga', 'ceba tendra', 'pebrot vermell', 'cilantro']","['mantega de cacauet', 'tamari', ""vinagre d'arròs"", 'oli de sèsam', 'llima', 'salsa chili-all', 'aigua', 'cacauets', 'quinoa', 'col rossa', 'pastanaga', 'ceba tendra', 'pebrot vermell', 'cilantro']",6.0
Amanida grega amb feta i olives kalamata,informal,fred,baixa,mitjana,primer,amanida_fresca,Grècia,6.5,"['empresa', 'congres', 'aniversari']",['totes'],"['tomàquet', 'cogombre', 'ceba', 'pebrot', 'olives', 'oli', 'vinagre', 'sal', 'feta', 'orenga']","['tomàquet', 'cogombre', 'ceba', 'pebrot', 'olives', 'oli', 'vinagre', 'sal', 'feta', 'orenga']",5.0
Amanida mediterrània de tomàquet i olives,informal,fred,baixa,mitjana,primer,amanida_fresca,Mediterrània,6.5,"['empresa', 'aniversari']",['estiu'],"['tomàquet', 'ceba', 'olives', 'oli', 'sal', 'pebre']","['tomàquet', 'ceba', 'olives', 'oli', 'sal', 'pebre']",5.0
Amanida de pollastre a la graella amb rúcula i parmesà,informal,fred,alta,mitjana,primer,amanida_fresca,Mediterrània,7.42,"['empresa', 'aniversari']",['totes'],"['pollastre a la graella', 'rúcula', 'llimona', 'mostassa', 'parmesà']","['pollastre a la graella', 'rúcula', 'llimona', 'mostassa', 'parmesà']",6.0
Amanida de pollastre amb sèsam i soja,informal,tebi,mitjana,mitjana,primer,amanida_fresca,Àsia oriental,7.46,"['empresa', 'aniversari']",['totes'],"['pollastre', 'soja', 'gingebre', 'all', 'sèsam', 'col', 'pastanaga']","['pollastre', 'soja', 'gingebre', 'all', 'sèsam', 'col', 'pastanaga']",6.0
Amanida de vedella i ruca amb vinagreta de mostassa,formal,fred,mitjana,mitjana,primer,entrant_fred,Itàlia,11.49,"['casament', 'empresa', 'congres']",['totes'],"['rúcula', 'vedella', 'sal', 'pebre', 'oli', 'vinagre', 'mostassa', 'bacon']","['rúcula', 'vedella', 'sal', 'pebre', 'oli', 'vinagre', 'mostassa', 'bacon']",6.9
Amanida d'espàrrecs al grill amb cigrons i menta,informal,tebi,mitjana,mitjana,primer,vegetal_entrant,Mediterrània,7.73,"['empresa', 'aniversari']",['totes'],"['espàrrecs', 'sal', 'oli', 'all', 'tàperes', 'llimona', 'cigrons', 'julivert', 'menta', 'espinacs']","['espàrrecs', 'sal', 'oli', 'all', 'tàperes', 'llimona', 'cigrons', 'julivert', 'menta', 'espinacs']",6.0
Dolmades (fulles de parra farcides),formal,tebi,mitjana,mitjana,primer,amanida_fresca,Grècia,9.72,"['casament', 'empresa', 'congres']",['totes'],"['arròs', 'cúrcuma', 'pebre', 'sal', 'menta', 'raïm sec', 'julivert', 'ceba', 'oli', 'llimona']","['arròs', 'cúrcuma', 'pebre', 'sal', 'menta', 'raïm sec', 'julivert', 'ceba', 'oli', 'llimona']",6.9
Warak Enab Mahshi (fulles de parra),formal,tebi,alta,petita,primer,amanida_fresca,Egipte,7.67,"['casament', 'empresa', 'congres']",['totes'],"['fulles de parra', 'arròs', 'ceba', 'herbes', 'oli', 'llimona', 'comí', 'coriandre', 'sal', 'pebre']","['fulles de parra', 'arròs', 'ceba', 'herbes', 'oli', 'llimona', 'comí', 'coriandre', 'sal', 'pebre']",5.8
