nom_plat,mida_racio,complexitat,temperatura,te_ordre,formalitat,preu_cost,apte_esdeveniment,disponibilitat,ingredients
Vinagreta sense amanida,mitjana,baixa,fred,primer,formal,4.0,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['llimona', 'formatge parmesà', 'sal d'all', 'maionesa', 'llet']"
Pastís de xocolata per a dues persones,petita,mitjana,tebi,postres,informal,7.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['oli', 'xocolata', 'sucre', 'ou', 'farina', 'sal', 'bicarbonat', 'extracte de vainilla', 'aigua', 'fruits secs', 'formatge fresc']"
Pastís 1-2-3-4,gran,mitjana,tebi,postres,formal,5.0,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['mantega', 'llet', 'extracte de vainilla', 'sucre', 'farina', 'llevat químic', 'ou']"
Brownies de 20 ingredients,mitjana,alta,tebi,postres,formal,8.0,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['sucre', 'mantega', 'ou', 'vainilla', 'xocolata', 'farina', 'cacau', 'formatge fresc', 'nata', 'sal']"
Stroganoff de vedella en 20 minuts,mitjana,mitjana,tebi,segon,formal,12.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['fideus', 'oli', 'xampinyons', 'ceba', 'vedella', 'llet', 'nata', 'sal', 'pebre', 'all', 'paprika', 'julivert']"
Pollastre rostit amb 40 grans d’all,gran,alta,calent,segon,informal,10.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pollastre', 'espècies', 'all', 'oli', 'llimona', 'farigola', 'romaní', 'julivert']"
Aadun (farina de blat de moro amb oli de palma),mitjana,mitjana,calent,primer,informal,4.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['farina de blat de moro', 'oli de palma', 'pebrot', 'sal']"
Abacha Mmiri (flocs de cassava remullats),mitjana,baixa,tebi,postres,informal,4.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['cassava', 'sal', 'coco', 'nou de palma', 'cacauets']"
Sopa Abak,mitjana,mitjana,tebi,primer,formal,5.0,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['fruita de palma', 'peix', 'marisc', 'carn', 'ceba', 'brou', 'all', 'espècies', 'cranc sec', 'fulles', 'sal']"
Abari (flam de blat de moro al vapor),mitjana,mitjana,calent,postres,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['blat de moro', 'cranc sec', 'gambes', 'pebrot', 'ceba', 'peix fumat', 'oli', 'espècies', 'sal']"
