nom_plat,formalitat,temperatura,complexitat,mida_racio,te_ordre,categoria,procedencia_plat,preu_cost,apte_esdeveniment,disponibilitat,ingredients,ingredients_norm
Amanida Caprese amb mozzarella i alfàbrega,formal,fred,baixa,petita,primer,amanida_fresca,Itàlia,7.9,['totes'],['estiu'],"['tomàquet', 'mozzarella', 'alfàbrega', ""oli d'oliva"", 'balsàmic']","['tomàquet', 'mozzarella', 'alfàbrega', ""oli d'oliva"", 'balsàmic']"
Amanida Cèsar amb pa torrat i parmesà,formal,fred,baixa,petita,primer,amanida_fresca,Estats Units,7.12,['totes'],"['estiu', 'primavera', 'tardor', 'hivern']","['enciam romà', 'salsa cèsar', 'ou', 'pa torrat', 'parmesà']","['enciam romà', 'salsa cèsar', 'ou', 'pa torrat', 'parmesà']"
Amanida japonesa d'algues amb sèsam torrat,informal,fred,baixa,petita,primer,amanida_fresca,Japó,6.5,['totes'],['totes'],"['algues', 'ceba', 'salsa de soja', ""vinagre d'arròs"", 'mirin', 'oli de sèsam', 'pebre vermell', 'sal', 'sèsam']","['algues', 'ceba', 'salsa de soja', ""vinagre d'arròs"", 'mirin', 'oli de sèsam', 'pebre vermell', 'sal', 'sèsam']"
Amanida de fideus asiàtics amb sèsam,informal,fred,baixa,petita,primer,amanida_fresca,Àsia oriental,6.5,['totes'],['totes'],"['fideus', 'oli de sèsam', 'coriandre', 'ceba tendra', 'pastanaga']","['fideus', 'oli de sèsam', 'coriandre', 'ceba tendra', 'pastanaga']"
Amanida de quinoa i verdures amb salsa de cacauet,informal,fred,baixa,mitjana,primer,amanida_fresca,Perú,7.8,['totes'],['totes'],"['mantega de cacauet', 'tamari', ""vinagre d'arròs"", 'oli de sèsam', 'llima', 'salsa chili-all', 'aigua', 'cacauets', 'quinoa', 'col rossa', 'pastanaga', 'ceba tendra', 'pebrot vermell', 'cilantro']","['mantega de cacauet', 'tamari', ""vinagre d'arròs"", 'oli de sèsam', 'llima', 'salsa chili-all', 'aigua', 'cacauets', 'quinoa', 'col rossa', 'pastanaga', 'ceba tendra', 'pebrot vermell', 'cilantro']"
Amanida grega amb feta i olives kalamata,informal,fred,baixa,mitjana,primer,amanida_fresca,Grècia,6.5,['totes'],['totes'],"['tomàquet', 'cogombre', 'ceba', 'pebrot', 'olives', 'oli', 'vinagre', 'sal', 'feta', 'orenga']","['tomàquet', 'cogombre', 'ceba', 'pebrot', 'olives', 'oli', 'vinagre', 'sal', 'feta', 'orenga']"
Amanida mediterrània de tomàquet i olives,informal,fred,baixa,mitjana,primer,amanida_fresca,Mediterrània,6.5,"['empresa', 'aniversari']",['estiu'],"['tomàquet', 'ceba', 'olives', 'oli', 'sal', 'pebre']","['tomàquet', 'ceba', 'olives', 'oli', 'sal', 'pebre']"
Amanida de pollastre a la graella amb rúcula i parmesà,informal,fred,alta,mitjana,primer,amanida_fresca,Mediterrània,7.49,['totes'],['totes'],"['pollastre a la graella', 'rúcula', 'llimona', 'mostassa', 'parmesà']","['pollastre a la graella', 'rúcula', 'llimona', 'mostassa', 'parmesà']"
Amanida de pollastre amb sèsam i soja,informal,tebi,mitjana,mitjana,primer,amanida_fresca,Àsia oriental,6.5,['totes'],['totes'],"['pollastre', 'soja', 'gingebre', 'all', 'sèsam', 'col', 'pastanaga']","['pollastre', 'soja', 'gingebre', 'all', 'sèsam', 'col', 'pastanaga']"
Amanida de vedella i ruca amb vinagreta de mostassa,formal,fred,mitjana,mitjana,primer,entrant_fred,Itàlia,12.5,"['casament', 'empresa', 'congres']",['totes'],"['rúcula', 'vedella', 'sal', 'pebre', 'oli', 'vinagre', 'mostassa', 'bacon']","['rúcula', 'vedella', 'sal', 'pebre', 'oli', 'vinagre', 'mostassa', 'bacon']"
Amanida d'espàrrecs al grill amb cigrons i menta,informal,tebi,mitjana,mitjana,primer,vegetal_entrant,Mediterrània,8.31,"['empresa', 'aniversari']",['totes'],"['espàrrecs', 'sal', 'oli', 'all', 'tàperes', 'llimona', 'cigrons', 'julivert', 'menta', 'espinacs']","['espàrrecs', 'sal', 'oli', 'all', 'tàperes', 'llimona', 'cigrons', 'julivert', 'menta', 'espinacs']"
Dolmades (fulles de parra farcides),formal,tebi,mitjana,mitjana,primer,amanida_fresca,Grècia,8.58,"['casament', 'empresa', 'congres']",['totes'],"['arròs', 'cúrcuma', 'pebre', 'sal', 'menta', 'raïm sec', 'julivert', 'ceba', 'oli', 'llimona']","['arròs', 'cúrcuma', 'pebre', 'sal', 'menta', 'raïm sec', 'julivert', 'ceba', 'oli', 'llimona']"
