nom_plat,tipus,complexitat,formalitat,mida_racio,temperatura,ingredients,procedencia,especificacio,apte_esdeveniment,llista_ingredients,disponibilitat_plats
Llobarro al Forn amb Patata Panadera,segon,baixa,formal,gran,calent,"['llobarro', 'patata', 'ceba', 'all', 'oli d’oliva', 'vi blanc', 'julivert', 'sal']",,,tots,"['llobarro', 'patata', 'ceba', 'all', 'oli d’oliva', 'vi blanc', 'julivert', 'sal']","['estiu', 'primavera', 'tardor']"
Entrecot a la Brasa amb Guarnició,segon,mitjana,formal,gran,calent,"['vedella', 'sal gruixuda', 'pebre', 'oli d’oliva', 'patata rostida', 'pebrot escalivat']",,,tots,"['vedella', 'sal gruixuda', 'pebre', 'oli d’oliva', 'patata rostida', 'pebrot escalivat']","['estiu', 'tardor']"
Amanida de Mongetes Tendres i Patata,primer,baixa,informal,mitjà,tebi,"['mongetes tendres', 'patata', 'oli d’oliva', 'vinagre', 'sal']",Catalunya,,tots,"['mongetes tendres', 'patata', 'oli d’oliva', 'vinagre', 'sal']","['estiu', 'primavera']"
Cigrons amb Espinacs,primer,mitjana,informal,mitjà,calent,"['cigrons cuits', 'espinacs', 'all', 'oli d’oliva', 'pebre vermell']",Catalunya,,tots,"['cigrons cuits', 'espinacs', 'all', 'oli d’oliva', 'pebre vermell']","['hivern', 'primavera', 'tardor']"
Sopa de Farigola amb Ou,primer,baixa,informal,mitjà,calent,"['farigola', 'aigua', 'pa', 'ou', 'oli d’oliva', 'sal']",Catalunya,,tots,"['farigola', 'aigua', 'pa', 'ou', 'oli d’oliva', 'sal']","['estiu', 'primavera', 'tardor']"
Amanida de Bacallà i Taronja,primer,baixa,informal,mitjà,fred,"['bacallà dessalat', 'taronja', 'olives negres', 'oli d’oliva', 'ceba']",Catalunya,,tots,"['bacallà dessalat', 'taronja', 'olives negres', 'oli d’oliva', 'ceba']","['hivern', 'tardor']"
"Timbal de Patata, Tonyina i Pebrot Escalivat",primer,baixa,informal,mitjà,tebi,"['patata', 'tonyina', 'pebrot escalivat', 'ou dur', 'oli d’oliva']",Catalunya,,tots,"['patata', 'tonyina', 'pebrot escalivat', 'ou dur', 'oli d’oliva']","['estiu', 'tardor']"
Sopa de Verdures,primer,baixa,informal,mitjà,calent,"['verdures', 'aigua', 'sal', 'pastanaga', 'porro', 'api', 'carbassó', 'patata']",Catalunya,,tots,"['verdures', 'aigua', 'sal', 'pastanaga', 'porro', 'api', 'carbassó', 'patata']",['primavera']
Crema de Carbassó,primer,baixa,informal,mitjà,calent,"['carbassó', 'ceba', 'patata', 'verdures', 'aigua', 'sal', 'oli d’oliva']",Catalunya,,tots,"['carbassó', 'ceba', 'patata', 'verdures', 'aigua', 'sal', 'oli d’oliva']","['estiu', 'primavera']"
Xató de Vilanova,primer,mitjana,informal,mitjà,fred,"['escarola', 'tonyina', 'anxoves', 'olives arbequines', 'nyora', 'ametlla', 'avellana', 'tomàquet escalivat', 'all', 'pa', 'oli d’oliva', 'vinagre', 'sal']",Catalunya,,tots,"['escarola', 'tonyina', 'anxoves', 'olives arbequines', 'nyora', 'ametlla', 'avellana', 'tomàquet escalivat', 'all', 'pa', 'oli d’oliva', 'vinagre', 'sal']",['tardor']
Carxofes Confitades amb Pernil,primer,mitjana,informal,mitjà,tebi,"['carxofes', 'oli d’oliva', 'pernil', 'sal']",Catalunya,,tots,"['carxofes', 'oli d’oliva', 'pernil', 'sal']","['hivern', 'primavera', 'tardor']"
Sopa de Peix amb Fideus,primer,mitjana,formal,mitjà,calent,"['peix', 'verdures', 'aigua', 'sal', 'pasta', 'tomàquet', 'all', 'oli d’oliva']",Catalunya,,tots,"['peix', 'verdures', 'aigua', 'sal', 'pasta', 'tomàquet', 'all', 'oli d’oliva']","['estiu', 'tardor']"
Mongetes Tendres Saltejades amb Pernil,primer,baixa,informal,mitjà,tebi,"['mongetes tendres', 'pernil', 'all', 'oli d’oliva']",Catalunya,,tots,"['mongetes tendres', 'pernil', 'all', 'oli d’oliva']","['estiu', 'primavera']"
Amanida de Llegums,primer,baixa,informal,mitjà,fred,"['cigrons', 'mongeta', 'tomàquet', 'ceba', 'pebrot', 'oli d’oliva', 'vinagre']",Catalunya,,tots,"['cigrons', 'mongeta', 'tomàquet', 'ceba', 'pebrot', 'oli d’oliva', 'vinagre']",['tardor']
Cargols a la Cassola,segon,mitjana,informal,gran,calent,"['cargols', 'porc', 'all', 'julivert', 'pebre', 'tomàquet', 'aigua', 'sal']",Catalunya,,tots,"['cargols', 'porc', 'all', 'julivert', 'pebre', 'tomàquet', 'aigua', 'sal']",['estiu']
Filet de Vedella al Pebre Verd,segon,mitjana,formal,gran,calent,"['vedella', 'nata', 'pebre verd', 'conyac', 'mantega', 'sal']",,,tots,"['vedella', 'nata', 'pebre verd', 'conyac', 'mantega', 'sal']","['estiu', 'hivern', 'primavera', 'tardor']"
Rap a la Marinera,segon,mitjana,formal,gran,calent,"['rap', 'all', 'ceba', 'tomàquet', 'vi blanc', 'peix', 'verdures', 'aigua', 'sal', 'oli d’oliva', 'julivert']",,,tots,"['rap', 'all', 'ceba', 'tomàquet', 'vi blanc', 'peix', 'verdures', 'aigua', 'sal', 'oli d’oliva', 'julivert']","['estiu', 'tardor']"
