nom_plat,ordre_plat,compatibilitat,temperatura,procedencia_plat,complexitat,preu_venta,formalitat,ingredients,url
Crema catalana,Postre,tinto joven / crianza suave,,catalana,,14.0,Familiar,leche | piel de medio limón | rama de canela | yemas de huevo | azúcar | maicena,https://www.bonviveur.es/recetas/crema-catalana-casera
Calçots al horno,Postre,vino blanco seco / cava brut,Fred,catalana,,17.0,Familiar,calçots | salsa romesco,https://www.bonviveur.es/recetas/calcots-al-horno
Fricandó de ternera,Principal,vino blanco seco / cava brut,Calent,catalana,,20.0,Formal,de ternera | sal | pimienta negra molida | harina de trigo | aceite de oliva | ajo | cebolla | zanahoria | tomate | ramita de romero | laurel | vino tinto | caldo de carne | champiñón portobello | setas shiitake | almendras tostadas | ramita de perejil,https://www.bonviveur.es/recetas/fricando
Pan con tomate,Postre,vino tinto crianza,Calent,catalana,,16.0,Familiar,rebanadas de pan | ajo | tomates de colgar u otra variedad con mucha pulpa | aceite de oliva virgen e tra | sal,https://www.bonviveur.es/recetas/pan-con-tomate
Escalivada,Principal,vino blanco seco / cava brut,Fred,catalana,,18.0,Tradicional,pimiento rojo | berenjena gran | cebolla | tomates | aceite de oliva virgen e tra | sal,https://www.bonviveur.es/recetas/escalivada-verduras
Escudella catalana,Postre,vino blanco seco / cava brut,Fred,catalana,,20.0,Formal,garbanzos remojados durante horas | morcillo de ternera | panceta de cerdo | jamón | morro de cerdo | oreja de cerdo | pie de cerdo partido a la mitad | cuarto trasero de gallina | hueso de caña de ternera | hueso de jamón | huesos de espinazo salados | rama de apio | puerro | col | nabo | chirivías | zanahorias | patatas | butifarra blanca | butifarra negra | ajo | manojo de perejil | miga de pan blanco | leche | huevo | carne picada de ternera | carne picada de cerdo | sal | pimienta | harina de trigo | galets,https://www.bonviveur.es/recetas/escudella-catalana
Coca de escalivada,Entrante,vino blanco seco / cava brut,Calent,española,,19.0,Familiar,pimiento rojo | cebolla | berenjena | aceite de oliva | sal | tomillo para servir | harina de trigo | levadura seca de panadería | agua templada,https://www.bonviveur.es/recetas/coca-de-escalivada
Patatas de Olot,Principal,vino blanco seco / cava brut,Fred,catalana,,20.0,Familiar,carne de ternera para guisar en tacos | panceta en tacos | sal | pimienta recién molida | aceite de oliva virgen e tra | cebolla | brandy | vino tinto | tomate maduro | agua | patatas de la variedad kennebec | aceite de oliva para freír | claras de huevo,https://www.bonviveur.es/recetas/patatas-de-olot
Salsa para calçots,Principal,vino blanco seco / cava brut,Calent,catalana,,18.0,Formal,ñoras | tomates maduros | cabeza de ajos | almendras tostadas | vinagre | sal | aceite de oliva,https://www.bonviveur.es/recetas/salsa-para-calcots
Pollo con gambas,Principal,vino blanco seco / cava brut,Fred,catalana,,20.0,Formal,cuartos traseros de pollo | sal | pimienta negra molida | aceite de oliva | gambas | cebolla | tomates rojos | brandy | vino blanco | ajo | rebanada de pan | almendras | agua,https://www.bonviveur.es/recetas/pollo-con-gambas
Patatas enmascaradas,Principal,vino tinto crianza,Calent,catalana,,17.0,Familiar,butifarra negra o morcilla | ajo | patatas | bacon o panceta | sal | pimienta negra molida | aceite de oliva | perejil,https://www.bonviveur.es/recetas/patatas-enmascaradas
Calçots a la brasa,Principal,vino blanco seco / cava brut,Fred,catalana,,17.0,Tradicional,manojo de calçots | salsa de calçots,https://www.bonviveur.es/recetas/calcots-a-la-brasa
Olla aranesa,Principal,vino tinto crianza,Calent,catalana,,18.0,Familiar,alubias blancas en remojo horas | cuarto trasero de gallina | oreja de cerdo | panceta | hueso de jamón | costilla de ternera o de morcillo | col | puerro | o zanahorias | rama de apio | patatas | carne picada de cerdo | huevo | pan rallado | o de ajo | perejil fresco | sal | butifarra blanca | butifarra negra | butifarra cruda | fideos gruesos nº,https://www.bonviveur.es/recetas/olla-aranesa
Coca de Montserrat,Postre,vino tinto crianza,Calent,catalana,,17.0,Familiar,harina de fuerza | agua | manteca de cerdo | huevo | media de sal | levadura seca de panadero o de levadura fresca | vainilla en pasta | huevo batido | azúcar blanco | piñones,https://www.bonviveur.es/recetas/coca-de-montserrat
Crema catalana en Thermomix,Postre,tinto joven / crianza suave,Calent,española,,15.0,Familiar,leche entera | azúcar | yemas de huevo | maicena | aroma de vainilla | pizca de sal | piel de limón | rama de canela,https://www.bonviveur.es/recetas/crema-catalana-en-thermomix
Sopa de Navidad,Postre,vino tinto crianza,Calent,mallorquina,,18.0,Familiar,aceite de oliva virgen e tra | carcasa de pollo | espinazo de pollo | espinazo de cerdo | hueso de ternera | zanahorias | puerro | rama de apio | nabo | chirivía | agua | sal | carne picada | pimienta recién molida | ajo en polvo | huevo | manojo de perejil | galets,https://www.bonviveur.es/recetas/sopa-de-navidad
Panellets,Postre,tinto joven / crianza suave,Calent,española,,15.0,Familiar,boniato | azúcar glas | ralladura de limón | almendra molida | yema de huevo | clara de huevo | piñones | huevo batido,https://www.bonviveur.es/recetas/panellets-caseros
Bacalao con samfaina,Principal,vino blanco seco / cava brut,Calent,catalana,,20.0,Formal,ajo | cebolla | calabacín | berenjena | pimiento rojo | pimiento verde | aceite de oliva virgen e tra | sal | romero seco | tomates pera | harina de trigo | lomos de bacalao al punto de sal,https://www.bonviveur.es/recetas/bacalao-con-samfaina
Pa de pessic,Postre,vino blanco seco / cava brut,Calent,catalana,,17.0,Familiar,huevos | azúcar | harina de trigo | maicena,https://www.bonviveur.es/recetas/pa-de-pessic
Pollo rustido,Principal,tinto joven / crianza suave,Calent,catalana,,16.0,Familiar,muslos de pollo | contramuslos de pollo | sal | pimienta negra molida | aceite de oliva | cebollas | ajo | rama de canela | tomates | brandy o coñac | ciruelas secas deshuesadas | pasas | piñones | caldo de pollo,https://www.bonviveur.es/recetas/pollo-rustido
Xuxos o pepitos de crema,Postre,vino tinto crianza,Calent,española,,18.0,Familiar,leche entera | yema de huevo | azúcar blanco | maicena | vainilla en pasta o e tracto | harina de fuerza | harina de trigo | media de sal | levadura seca de panadero | huevos | mantequilla sin sal | aceite para freír,https://www.bonviveur.es/recetas/xuxos-o-pepitos-de-crema
